Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
29,5.242,4.872,0.83222,77.0578,94.5685,1e-08
30,4.89,4.539,0.83308,77.257,94.2959,1e-08
31,4.573,4.214,0.83257,77.0997,94.579,1e-08
32,4.422,4.069,0.82273,77.4457,94.4532,1e-08
33,4.226,3.872,0.83391,77.1312,94.5371,1e-08
34,4.101,3.749,0.80671,77.8652,94.925,1e-08
35,4.061,3.707,0.81119,77.9805,94.7573,1e-08
36,3.83,3.476,0.81734,77.9386,94.3483,1e-08
37,3.852,3.499,0.81599,77.3828,94.6209,1e-08
38,3.836,3.48,0.8143,78.1692,94.5476,1e-08
39,3.875,3.52,0.79768,77.9176,94.7887,1e-08
40,3.86,3.501,0.8096,77.97,94.5266,1e-08
41,3.811,3.453,0.81729,77.5191,94.4846,1e-08
42,3.806,3.456,0.80424,77.6659,94.9565,1e-08
43,3.78,3.419,0.84623,76.7956,93.9918,1e-08
44,3.762,3.403,0.8237,77.6764,94.6,1e-08
45,3.74,3.383,0.82667,77.3304,94.5685,1e-08
46,3.898,3.544,0.83057,77.2151,94.3483,1e-08
47,3.81,3.452,0.80799,77.7708,94.7048,1e-08
48,3.814,3.456,0.818,77.8022,94.4532,1e-08
49,3.757,3.406,0.82538,77.3723,94.4951,1e-08
50,3.756,3.402,0.79947,78.316,94.6,1e-08
51,3.739,3.386,0.82132,77.5716,94.4951,1e-08
52,3.69,3.33,0.79944,78.0329,94.7677,1e-08
53,3.646,3.289,0.81698,77.4353,94.6105,1e-08
54,3.685,3.33,0.81003,77.7498,94.5895,1e-08
55,3.676,3.322,0.82173,77.2885,94.5371,1e-08
56,3.687,3.333,0.81735,77.6869,94.5161,1e-08
57,3.688,3.33,0.83877,76.9005,94.3483,1e-08
58,3.8,3.443,0.82671,77.0473,94.7468,1e-08
59,3.892,3.532,0.81323,77.4038,94.6839,1e-08
60,3.874,3.518,0.81563,77.9071,94.5685,1e-08
61,3.841,3.486,0.82758,77.3514,94.6,1e-08
62,3.755,3.401,0.82045,77.3933,94.5476,1e-08
63,3.755,3.397,0.82517,77.5401,94.4532,1e-08
64,3.854,3.491,0.83295,77.0892,94.5476,1e-08
65,3.771,3.415,0.80114,77.97,94.9041,1e-08
66,3.74,3.382,0.83277,76.8481,94.3064,1e-08
67,3.818,3.452,0.81903,77.5087,94.4637,1e-08
68,3.743,3.383,0.81909,77.4877,94.5161,1e-08
69,3.7,3.339,0.82758,77.5191,94.2854,1e-08
70,3.705,3.349,0.81414,77.9071,94.5371,1e-08
71,3.73,3.372,0.83341,77.0053,94.5266,1e-08
72,3.679,3.322,0.83337,77.6974,94.1176,1e-08
73,3.694,3.338,0.80456,78.3475,94.7887,1e-08
74,3.696,3.339,0.81203,77.7708,94.7677,1e-08
75,3.772,3.414,0.81402,77.9281,94.5895,1e-08
76,3.76,3.405,0.80418,77.9386,94.8831,1e-08
77,3.819,3.459,0.81791,77.0473,94.3903,1e-08
78,3.822,3.462,0.81882,78.1483,94.4532,1e-08
79,3.817,3.457,0.84769,76.3552,94.2959,1e-08
80,3.827,3.47,0.8204,77.4772,94.6,1e-08
81,3.781,3.42,0.81416,77.7708,94.4742,1e-08
82,3.731,3.376,0.82381,77.5716,94.4427,1e-08
83,3.721,3.36,0.8195,77.7708,94.5476,1e-08
